facility_name,city,state,zip,phone,accepts_medicaid,accepts_medicare,accepts_private_insurance,accepts_self_pay_cash,state_financed_insurance,military_insurance,ihs_tribal_urban_funds,sliding_fee_scale,payment_assistance,affordability_tier
Deaf REACH,Washington,DC,20017,202-832-6681,False,False,False,False,False,False,False,False,False,Unknown
Hillcrest Children and Family Center,Washington,DC,20032,202-813-5240,False,False,True,True,False,False,False,True,False,Low Cost
Hillcrest Children and Family Center,Washington,DC,20001,202-232-6100,False,False,True,True,False,True,False,True,False,Low Cost
Latin American Youth Center — Substance Use Disorder Treatment,Washington,DC,20009,202-319-2225,False,False,False,False,False,False,False,False,True,Free/No Cost
Life Enhancement Services,Washington,DC,20002,202-269-2401,False,False,False,False,False,False,False,False,False,Unknown
Life Enhancement Services — LEnfant Sqaure,Washington,DC,20020,202-269-2401,False,False,False,False,False,False,False,False,False,Unknown
MedStar Washington Hospital Center — Outpatient Behavioral Health Services,Washington,DC,20017,202-877-6333,False,True,True,True,True,True,False,False,False,Low Cost
So Others Might Eat Inc (SOME),Washington,DC,20001,202-797-8806 x1000,False,True,False,False,True,False,False,True,True,Free/No Cost
Whitman Walker Clinic/Mental Hlth and — Addiction Treatment Services,Washington,DC,20005,202-745-7000,False,True,True,True,True,True,False,False,False,Low Cost
Whitman Walker Health — Max Robinson Center,Washington,DC,20032,202-745-7000,False,True,True,True,True,True,False,False,False,Low Cost
Central Florida Recovery Centers,Apopka,FL,32703,321-251-2255,False,False,True,True,False,True,False,False,False,Medium Cost
STEPS Inc — Womens Residential Facility,Apopka,FL,32703,407-884-2125,False,False,True,True,False,False,False,True,True,Free/No Cost
DeSoto Psychiatric Services — Selby House,Arcadia,FL,34266,941-639-8300,False,False,True,True,True,True,False,True,True,Free/No Cost
Peace River Center — Personal Dev/Avon Park CFHC,Avon Park,FL,33825,863-519-0575,False,True,True,True,True,True,False,False,False,Low Cost
Peace River Center — Personal Development/SRT,Bartow,FL,33830,863-519-5759 x6223,False,False,False,False,False,False,False,False,False,Unknown
Lifestream Behavioral Center — Citrus Access Center,Beverly Hills,FL,34465,352-270-8236,False,True,True,True,True,False,False,False,False,Low Cost
Panhandle Therapy Center LLC,Blountstown,FL,32424,850-674-8888,False,True,True,True,True,True,False,False,False,Low Cost
Banyan Boca,Boca Raton,FL,33486,800-547-4615,False,False,True,True,False,False,False,False,False,Medium Cost
Faulk Center for Counseling,Boca Raton,FL,33433,561-483-5300,False,False,False,True,False,False,False,True,True,Free/No Cost
iRecovery LLC,Boca Raton,FL,33487,561-464-5500,False,True,True,True,False,False,False,False,False,Medium Cost
Ruth and Norman Rales Jewish — Family Services,Boca Raton,FL,33428,561-852-3333,False,True,True,True,False,False,False,True,False,Low Cost
Allpure Behavioral Health,Bonita Springs,FL,34134,239-799-7873,False,False,False,True,False,False,False,False,False,Medium Cost
Compass Health Systems,Boynton Beach,FL,33437,305-891-0050,False,True,True,True,True,True,False,False,False,Low Cost
New Reflections Counseling Inc,Boynton Beach,FL,33426,561-288-0377,False,False,True,True,False,True,False,False,False,Medium Cost
Centerstone,Bradenton,FL,34205,941-782-4800 x4203,False,True,True,True,False,True,False,True,True,Free/No Cost
Centerstone Hospital — Outpatiet Addictions Services MAT Pro,Bradenton,FL,34208,941-782-4738,False,True,True,True,False,False,False,True,True,Free/No Cost
Palm Shores Behavioral Health Center,Bradenton,FL,34208,941-792-2222,False,False,True,True,True,True,False,False,False,Low Cost
Suncoast Behavioral Health Center,Bradenton,FL,34210,941-251-5000,False,False,True,True,True,True,False,False,False,Low Cost
Epic Behavioral Healthcare,Bunnell,FL,32110,904-829-2273,False,False,True,False,False,False,False,False,False,Medium Cost
Lime Counseling,Cape Coral,FL,33990,904-601-5463,False,True,True,True,False,False,False,True,False,Low Cost
Lakeview Center Inc — Century Clinic,Century,FL,32535,850-332-5875,False,True,True,True,False,False,False,True,False,Low Cost
Meridian Behavioral Healthcare Inc — Levy County Clinic,Chiefland,FL,32626,352-439-0074,False,True,True,True,True,True,False,True,False,Low Cost
Senior Enrichment — Northwest Florida Community Hospital,Chipley,FL,32428,850-415-7207,False,True,True,True,False,False,False,False,False,Medium Cost
BayCare Behavioral Health — Life Management Services,Clearwater,FL,33756,727-584-6266,False,True,True,True,False,False,False,False,False,Medium Cost
Suncoast Center Inc — Outpatient Services,Clearwater,FL,33760,727-388-1220,False,True,True,True,True,True,False,True,False,Low Cost
Suncoast Center Inc — Outpatient Services,Clearwater,FL,33759,727-388-1220,False,True,True,True,True,True,False,True,False,Low Cost
Windmoor Healthcare,Clearwater,FL,33764,727-541-2646 x1006,False,True,True,True,True,True,False,False,False,Low Cost
Clermont VA Clinic,Clermont,FL,34712,352-526-8200,False,True,True,False,False,True,False,False,False,Medium Cost
Cognitive Health and Wellness,Clermont,FL,34711,352-505-1788,False,True,True,True,False,False,False,False,False,Medium Cost
LifeStream Behavioral Center — South Lake Outpatient Center,Clermont,FL,34711,352-394-5922,False,True,True,True,True,True,False,True,False,Low Cost
Lifetime Counseling Center,Cocoa,FL,32922,321-632-5792,False,False,True,True,False,True,False,True,False,Low Cost
Bridgeway Center Inc,Crestview,FL,32536,850-833-7500,False,True,False,True,True,True,False,True,True,Free/No Cost
Meridian Behavioral Healthcare Inc — Dixie County Clinic,Cross City,FL,32628,352-471-0069,False,True,True,True,True,True,False,True,False,Low Cost
LifeStream Behavioral Center — Crystal River Outpatient,Crystal River,FL,34429,352-228-4470,False,True,True,True,True,True,False,True,True,Free/No Cost
Halifax Health Adult Psychiatry,Daytona Beach,FL,32114,386-425-3908,False,True,True,True,True,True,False,False,False,Low Cost
Halifax Health Behavioral Services,Daytona Beach,FL,32114,386-425-3900,False,True,True,True,True,False,False,False,False,Low Cost
Orlando VA — West Side Pavillion,Daytona Beach,FL,32114,386-366-6700,False,True,True,False,False,True,False,False,False,Medium Cost
Outreach Community Care Network,Daytona Beach,FL,32114,386-255-5569,False,False,True,True,False,False,False,False,False,Medium Cost
SMA Enrichment — Daytona,Daytona Beach,FL,32114,800-539-4228,False,True,True,True,False,False,False,True,False,Low Cost
SMA FACT — Daytona,Daytona Beach,FL,32114,800-539-4228,False,False,True,True,False,False,False,True,False,Low Cost
William V Chappell Jr VA — Satellite,Daytona Beach,FL,32114,386-366-7500,False,True,True,False,False,True,False,False,False,Medium Cost
Circle of Friends Services Inc — DeBary,Debary,FL,32713,386-259-5413,False,False,False,False,False,False,False,False,False,Unknown
Miami VA Healthcare System — Deerfield Beach CBOC,Deerfield Beach,FL,33442,954-570-5572,False,False,False,False,False,True,False,False,False,Medium Cost
Advent Health — Deland,Deland,FL,32720,386-943-4522,False,True,True,True,True,True,False,False,False,Low Cost
Devereux Service Center Volusia,Deland,FL,32724,386-738-5543,False,False,False,False,False,False,False,False,False,Unknown
SMA Outpatient — DeLand,Deland,FL,32720,800-539-4228,False,True,True,True,False,False,False,True,False,Low Cost
Bishop Health — Delray,Delray Beach,FL,33483,561-359-1934,False,False,True,True,False,False,False,False,False,Medium Cost
Fair Oaks Pavilion,Delray Beach,FL,33484,561-495-3737,False,True,True,True,False,False,False,False,False,Medium Cost
Orlando VA — Deltona Clinic,Deltona,FL,32725,386-456-2080,False,True,True,False,False,True,False,False,False,Medium Cost
LifeStream Behavioral Center — Childrens Services Center,Eustis,FL,32726,352-315-7800,False,True,True,False,False,False,False,True,False,Low Cost
LifeStream Behavioral Center — Crossroads ll,Eustis,FL,32726,352-357-1550,False,True,True,True,True,False,False,True,True,Free/No Cost
Starting Point Behavioral Healthcare — Our Place,Fernandina Beach,FL,32034,904-491-2009,False,True,True,True,True,True,False,True,True,Free/No Cost
Care Clinic,Flagler Beach,FL,32136,844-782-6963,False,False,True,True,False,False,False,False,False,Medium Cost
Adolescent Wellness Academy (AWA),Fort Lauderdale,FL,33314,954-368-1344,False,False,True,True,False,True,False,False,False,Medium Cost
Archways Behav Healthcare Center — ATAP House,Fort Lauderdale,FL,33311,954-763-2030,False,False,False,True,False,False,False,True,True,Free/No Cost
Archways Behav Healthcare Center — Avon Manor Group Home,Fort Lauderdale,FL,33304,954-763-2030,False,False,False,True,False,False,False,True,True,Free/No Cost
Archways Behav Healthcare Center — Bennett Apartments,Fort Lauderdale,FL,33304,954-763-2030,False,False,False,True,False,False,False,True,True,Free/No Cost
Archways Behav Healthcare Center — Main Facility,Fort Lauderdale,FL,33304,954-763-2030,False,True,True,True,False,False,False,True,True,Free/No Cost
Archways Behav Healthcare Center — Sunshine Apartments,Fort Lauderdale,FL,33304,954-763-2030,False,False,False,True,False,False,False,True,True,Free/No Cost
Banyan Health Systems — Integrated OP Services,Fort Lauderdale,FL,33313,305-378-6100,False,True,True,True,True,False,False,True,True,Free/No Cost
Broward Health Imperial Point — Behavioral Health,Fort Lauderdale,FL,33308,954-776-8660,False,True,True,False,True,True,False,False,False,Low Cost
Care Clinic,Fort Lauderdale,FL,33312,844-782-6963,False,False,True,True,False,False,False,False,False,Medium Cost
CMET,Fort Lauderdale,FL,33304,954-835-5741,False,False,False,True,False,False,False,True,False,Low Cost
Compass Health Systems,Fort Lauderdale,FL,33319,888-852-6672,False,True,True,True,True,True,False,False,False,Low Cost
HCA Florida Woodmont MHC — HCA Florida Woodmont Hospital,Fort Lauderdale,FL,33321,954-724-6506,False,True,True,True,True,True,False,False,False,Low Cost
Helping Hands Recovery Center,Fort Lauderdale,FL,33309,954-261-2580,False,False,True,True,False,False,False,False,False,Medium Cost
Henderson Behavioral Health — Community Support Services,Fort Lauderdale,FL,33319,954-730-7284,False,True,True,True,False,True,False,True,True,Free/No Cost
Henderson Behavioral Health — CRC,Fort Lauderdale,FL,33319,954-606-0911,False,True,True,True,False,True,False,True,True,Free/No Cost
Henderson Behavioral Health — FACT Program,Fort Lauderdale,FL,33319,954-486-4005,False,False,False,False,False,False,False,True,True,Free/No Cost
Henderson Behavioral Health — Henderson CSU,Fort Lauderdale,FL,33312,954-739-8066,False,False,True,True,False,False,False,True,True,Free/No Cost
Henderson Behavioral Health — Rainbow,Fort Lauderdale,FL,33313,954-735-4331,False,False,False,True,False,False,False,True,True,Free/No Cost
Henderson Behavioral Health — West Broward Branch,Fort Lauderdale,FL,33351,954-888-7999,False,True,True,True,False,True,False,True,True,Free/No Cost
Henderson Behavioral Health — Youth Prevention Services,Fort Lauderdale,FL,33319,954-735-4530,False,False,True,True,False,True,False,True,True,Free/No Cost
Henderson Behavioral Health — Central Branch,Fort Lauderdale,FL,33312,954-791-4300,False,True,True,True,False,True,False,True,True,Free/No Cost
Henderson Behavioral Health — New Vistas Adults,Fort Lauderdale,FL,33309,954-731-1000,False,True,True,True,False,True,False,True,True,Free/No Cost
Henderson Behavioral Health — New Vistas Youth and Family,Fort Lauderdale,FL,33309,954-731-5100,False,False,True,True,False,True,False,True,True,Free/No Cost
Henderson Behavioral Health — Parkside House,Fort Lauderdale,FL,33313,954-486-4005,False,False,False,True,False,False,False,True,True,Free/No Cost
Jewish Adoption and Foster Options,Fort Lauderdale,FL,33351,954-749-7230 x110,False,False,True,True,True,False,False,False,False,Low Cost
Prevail Recovery Center,Fort Lauderdale,FL,33309,866-441-2455,False,False,True,True,False,True,False,True,False,Low Cost
Sylvia Brafman Mental Health Center,Fort Lauderdale,FL,33321,954-495-4020,False,False,True,True,False,False,False,False,False,Medium Cost
We Level Up — Tamarac FL,Fort Lauderdale,FL,33321,954-420-6627,False,False,True,True,False,False,False,False,False,Medium Cost
Celadon Recovery Center,Fort Myers,FL,33916,239-880-3990,False,False,True,True,False,True,False,False,False,Medium Cost
Celadon Recovery Outpatient Services,Fort Myers,FL,33912,239-880-3990,False,False,False,False,False,False,False,False,False,Unknown
Mandala Counseling Services,Fort Myers,FL,33919,239-360-1983,False,False,True,True,False,False,False,False,False,Medium Cost
SalusCare — Evans Campus,Fort Myers,FL,33901,239-275-3222,False,False,True,True,True,True,False,True,False,Low Cost
Zion Healing Center Fort Myers,Fort Myers,FL,33919,239-372-6141,False,True,True,True,True,True,False,False,False,Low Cost
HCA Florida Lawnwood Hospital — Mental Health Services,Fort Pierce,FL,34950,772-466-1500,False,True,True,True,True,True,False,False,False,Low Cost
New Horizons of the Treasure Coast — Outpatient Mental Health,Fort Pierce,FL,34950,772-672-8600,False,True,True,True,True,True,False,False,False,Low Cost
New Horizons of the Treasure Coast — Outpatient Mental Health and Substance,Fort Pierce,FL,34981,772-468-5600,False,True,True,True,True,True,False,False,False,Low Cost
Suncoast Mental Health Center — Saint Lucie,Fort Pierce,FL,34950,772-489-4726,False,False,True,True,False,False,False,False,False,Medium Cost
Bridgeway Center Inc,Fort Walton Beach,FL,32548,850-833-7500,False,True,False,True,True,True,False,True,True,Free/No Cost
Bridgeway Center Inc — Wellness Center,Fort Walton Beach,FL,32547,850-833-7500,False,True,False,False,False,False,False,True,True,Free/No Cost
Emerald Coast Behavioral Hospital — Okaloosa Outpatient Center,Fort Walton Beach,FL,32547,850-226-7893,False,False,True,True,False,True,False,False,False,Medium Cost
Fort Walton Beach Medical Center — Behavioral Health,Fort Walton Beach,FL,32547,850-862-1111,False,True,True,True,True,True,False,True,False,Low Cost
HCA Florida North Florida Hospital,Gainesville,FL,32605,352-333-4000,False,True,True,True,True,True,False,True,False,Low Cost
Meridian Behavioral Healthcare Inc — Alachua County Main Clinic,Gainesville,FL,32608,352-374-5600,False,True,True,True,True,True,False,True,False,Low Cost
Family Empowerment MH Center Inc,Hialeah,FL,33014,305-952-3981,False,True,True,True,True,False,False,False,False,Low Cost
Starting Point Behavioral Healthcare — Hilliard/Our Place II,Hilliard,FL,32046,904-225-8280,False,True,True,True,True,True,False,True,True,Free/No Cost
Gulf Coast Jewish Family Services — Community Services,Holiday,FL,34691,727-943-4847,False,False,False,True,True,False,False,False,True,Free/No Cost
Compass Health Systems,Hollywood,FL,33026,305-891-0050,False,True,True,True,True,True,False,False,False,Low Cost
Compassion Behavioral Health,Hollywood,FL,33020,954-505-2200,False,False,True,True,False,True,False,True,False,Low Cost
Florida Palms Academy Inc,Hollywood,FL,33021,954-963-0992,False,False,False,True,False,False,False,False,False,Medium Cost
Henderson Behavioral Health — South Campus,Hollywood,FL,33020,954-921-2600,False,True,True,True,False,True,False,True,True,Free/No Cost
Larkin Community Hospital — Outpatient Behavioral Health,Hollywood,FL,33021,305-282-6897,False,True,True,True,False,True,False,False,False,Medium Cost
Memorial Regional Hospital — Behavioral Health,Hollywood,FL,33021,954-987-2000,False,True,True,True,False,False,False,False,False,Medium Cost
Miami VA Healthcare System — Hollywood CBOC,Hollywood,FL,33021,954-986-1811,False,False,False,False,False,True,False,False,False,Medium Cost
Miami VA Healthcare System — Pembroke Pines/Hollywood CBOC,Hollywood,FL,33024,954-894-1668,False,False,False,False,False,True,False,False,False,Medium Cost
Milestones in Recovery Inc — Milestones Eating Disorders Program,Hollywood,FL,33026,954-272-0806,False,False,True,True,False,False,False,False,False,Medium Cost
Miami VA Healthcare System — Homestead CBOC,Homestead,FL,33030,305-248-0874,False,False,False,False,False,True,False,False,False,Medium Cost
New Hope CORPS,Homestead,FL,33030,786-243-1003,False,False,True,True,False,False,False,True,True,Free/No Cost
David Lawrence Center,Immokalee,FL,34142,239-657-4434,False,True,True,True,True,False,False,True,False,Low Cost
Legacy Behavioral Health Center Inc,Indiantown,FL,34956,772-597-0411,False,False,False,True,False,False,False,True,True,Free/No Cost
ACE — Agency for Comm Empowerment,Jacksonville,FL,32216,904-551-0760,False,True,True,True,True,True,False,False,False,Low Cost
Care Clinic,Jacksonville,FL,32256,844-782-6963,False,False,True,True,False,False,False,False,False,Medium Cost
Cathedral Foundation of Jacksonville — DBA. Aging True,Jacksonville,FL,32210,904-807-1203,False,False,False,False,False,False,False,True,False,Low Cost
Child Guidance Center,Jacksonville,FL,32207,904-448-4700 x1000,False,False,True,True,True,True,False,True,False,Low Cost
Child Guidance Center,Jacksonville,FL,32210,904-448-4700 x5000,False,False,True,True,True,True,False,True,False,Low Cost
Child Guidance Center,Jacksonville,FL,32208,904-448-4700 x6000,False,False,True,True,True,True,False,True,False,Low Cost
Ellie Mental Health,Jacksonville,FL,32256,843-227-8651,False,True,True,True,False,True,False,True,False,Low Cost
Florida Counseling and Eval Services — Southside,Jacksonville,FL,32216,904-239-3677,False,True,True,True,False,True,False,True,True,Free/No Cost
North Florida South Georgia — Veterans Health System,Jacksonville,FL,32216,904-470-6900,False,False,False,False,False,False,False,False,False,Unknown
Sophros Recovery,Jacksonville,FL,32246,813-592-7053,False,False,True,True,False,True,False,False,False,Medium Cost
UF Health Jacksonville,Jacksonville,FL,32209,904-244-1470,False,True,True,True,True,True,False,False,False,Low Cost
Wekiva Springs Center,Jacksonville,FL,32216,904-296-3533,False,True,True,True,False,True,False,False,False,Medium Cost
Meridian Behavioral Healthcare Inc — Hamilton County Virgie Cone Center,Jasper,FL,32052,386-792-1338,False,True,True,True,True,True,False,True,False,Low Cost
Helping People Succeed Inc,Jensen Beach,FL,34957,772-320-0770,False,False,True,True,True,False,False,False,True,Free/No Cost
Guidance Care Center Inc,Key Largo,FL,33037,305-434-7660 x6,False,True,True,True,True,True,False,True,False,Low Cost
Kinder in the Keys Treatment Center,Key Largo,FL,33037,800-545-4046,False,False,True,True,False,False,False,False,False,Medium Cost
Miami VA Healthcare System — Key Largo CBOC,Key Largo,FL,33037,305-451-0164,False,False,False,False,False,True,False,False,False,Medium Cost
Guidance Care Center Inc,Key West,FL,33040,305-434-7660 x4,False,True,True,True,True,True,False,True,False,Low Cost
Miami VA Healthcare System — Key West CBOC,Key West,FL,33040,305-575-7000,False,False,False,False,False,True,False,False,False,Medium Cost
Kissimmee VA Clinic,Kissimmee,FL,34741,407-518-5004,False,True,True,False,False,True,False,False,False,Medium Cost
Orlando Health — The Healing Tree,Kissimmee,FL,34744,407-317-7430,False,False,False,True,False,False,False,False,True,Free/No Cost
Pan American Behav Health Servs of FL,Kissimmee,FL,34741,407-966-1768,False,False,True,True,False,False,False,False,True,Free/No Cost
Park Place Behavioral Healthcare — Osceola Mental Health Inc,Kissimmee,FL,34741,407-846-0023 x1321,False,True,True,True,False,False,False,True,True,Free/No Cost
TTHI Counseling Center — Kissimmee,Kissimmee,FL,34741,407-610-5010,False,True,True,True,True,True,False,True,False,Low Cost
Meridian Behavioral Healthcare Inc — Union County Clinic,Lake Butler,FL,32054,386-496-2347 x8500,False,True,True,True,True,True,False,True,False,Low Cost
Meridian Behavioral Healthcare Inc — Columbia County Campus,Lake City,FL,32025,386-487-0800 x8064,False,True,True,True,True,True,False,True,False,Low Cost
Lakeland Regional Health Systems — Grassland Campus,Lakeland,FL,33803,863-687-1222,False,True,True,True,True,True,False,False,False,Low Cost
Lakeland Regional Health Systems — Harrell Family Center for Behav Health,Lakeland,FL,33805,863-687-1275,False,True,True,True,True,True,False,False,False,Low Cost
Peace River Center — Gilmore Office,Lakeland,FL,33805,863-519-0575,False,True,True,True,True,True,False,False,False,Low Cost
Peace River Center — Substance Abuse Services,Lakeland,FL,33805,863-519-0575 x7298,False,True,True,True,True,True,False,False,False,Low Cost
Peace River Center — Success House,Lakeland,FL,33805,863-248-3311,False,False,True,True,False,False,False,False,False,Medium Cost
Peace River Center — Outpatient,Lake Wales,FL,33853,863-978-4800,False,False,True,True,True,False,False,False,False,Low Cost
Center for Trauma Counseling Inc,Lake Worth,FL,33467,561-444-3914,False,True,True,True,True,False,False,True,True,Free/No Cost
Comprehensive Wellness Centers,Lake Worth,FL,33462,561-619-5858,False,True,True,True,False,True,False,False,False,Medium Cost
Family Center for Recovery,Lake Worth,FL,33462,561-296-5288,False,False,True,True,False,True,False,False,False,Medium Cost
HomeSafe — Libra Girls,Lake Worth,FL,33461,561-383-9800 x1110,False,False,False,False,False,False,False,False,False,Unknown
New Reflections Counseling Inc,Lake Worth,FL,33467,561-288-0377,False,False,True,True,False,True,False,False,False,Medium Cost
We Level Up — Lake Worth FL,Lake Worth,FL,33467,561-257-5914,False,False,True,True,False,False,False,False,False,Medium Cost
HCA Florida Healthcare Largo West,Largo,FL,33774,727-586-7118,False,True,True,True,True,True,False,False,False,Low Cost
LifeStream Behavioral Center — AIMS Program,Leesburg,FL,34748,352-360-6625 x1503,False,False,False,True,False,False,False,True,False,Low Cost
LifeStream Behavioral Center — LAKE Academy Leesburg,Leesburg,FL,34748,352-315-7802,False,True,True,True,True,False,False,True,False,Low Cost
LifeStream Behavioral Center — Leesburg Outpatient/WIN,Leesburg,FL,34748,352-315-7500,False,True,True,True,True,True,False,True,True,Free/No Cost
Meridian Behavioral Healthcare Inc — Suwannee County Clinic,Live Oak,FL,32060,386-362-4218 x8400,False,True,True,True,True,True,False,True,False,Low Cost
IMPOWER — Outpatient Services,Longwood,FL,32750,407-319-8498,False,False,False,True,False,False,False,False,False,Medium Cost
Orlando Health — South Seminole Hosp/Behavioral Health,Longwood,FL,32750,407-262-2200,False,True,True,True,False,True,False,False,True,Free/No Cost
Morton Plant North Bay Recov Ctr — Adult unit,Lutz,FL,33549,813-428-6100,False,True,True,True,False,False,False,False,False,Medium Cost
Meridian Behavioral Healthcare Inc — Baker County Clinic,Macclenny,FL,32063,904-259-0264 x8507,False,True,True,True,True,True,False,True,False,Low Cost
Center for Discovery — Maitland,Maitland,FL,32751,855-818-2029,False,False,True,True,False,False,False,False,False,Medium Cost
La Amistad Behavioral Health Servs,Maitland,FL,32751,407-647-0660 x3022,False,False,True,True,False,True,False,False,False,Medium Cost
Guidance Care Center Inc,Marathon,FL,33050,305-434-7660 x5,False,True,True,True,True,True,False,True,False,Low Cost
Blue Springs Outpatient Center,Marianna,FL,32448,850-372-4192,False,False,True,True,False,True,False,False,False,Medium Cost
Florida Therapy Services — Marianna Office,Marianna,FL,32448,850-526-5500,False,True,True,True,False,True,False,False,False,Medium Cost
Care Clinic,Melbourne,FL,32901,844-782-6963,False,False,True,True,False,False,False,False,False,Medium Cost
Legacy Behavioral Health Center,Melbourne,FL,32904,321-256-8000,False,False,False,True,False,False,False,True,True,Free/No Cost
Orlando VAMC — Viera VA Clinic,Melbourne,FL,32940,321-637-3788,False,True,True,False,False,True,False,False,False,Medium Cost
All Wellness Community Center Inc,Miami,FL,33176,786-416-0811,False,False,True,True,True,True,False,True,False,Low Cost
Banyan Health Systems — Detoxification Center,Miami,FL,33134,305-774-3600,False,False,True,True,True,True,False,True,True,Free/No Cost
Banyan Health Systems — Integrated Adult Outpatient Services,Miami,FL,33134,305-398-6204,False,True,True,True,True,True,False,True,True,Free/No Cost
Banyan Health Systems — Miami BHC/Childrens South,Miami,FL,33189,786-293-9544,False,True,True,True,True,True,False,True,True,Free/No Cost
Behavioral Aid Solutions Inc,Miami,FL,33172,786-762-2952,False,False,True,True,False,False,False,True,True,Free/No Cost
Borinquen Medical Centers,Miami,FL,33137,305-576-6611 x1801,False,True,True,True,True,False,False,True,True,Free/No Cost
Borinquen Medical Centers — Flagami,Miami,FL,33126,305-576-6611 x8131,False,True,True,True,True,False,False,True,True,Free/No Cost
Brave Health,Miami,FL,33136,305-902-6347,False,True,True,True,False,False,False,False,False,Medium Cost
Community Health of South Florida Inc — Coconut Grove,Miami,FL,33133,786-245-2700,False,True,True,True,True,False,False,True,True,Free/No Cost
Compass Health Systems — North Miami Clinic,Miami,FL,33161,888-852-6672,False,True,True,True,True,True,False,False,False,Low Cost
Compass Health Systems — Outpatient,Miami,FL,33176,305-891-0050,False,True,True,True,True,True,False,False,False,Low Cost
Coral CMHC Inc,Miami,FL,33135,305-644-6024,False,True,True,True,True,False,False,True,False,Low Cost
Dade Family Counseling Community — Mental Health Center Inc,Miami,FL,33173,786-548-1022 x1019,False,True,True,True,False,True,False,False,False,Medium Cost
Equilibrium Centro Terapeutico,Miami,FL,33134,305-999-5251,False,False,True,True,False,False,False,False,False,Medium Cost
Face to Face Mental Health Servs LLC,Miami,FL,33157,305-964-5824,False,True,True,True,True,True,False,True,False,Low Cost
Golden Palms Residential Trt Fac,Miami,FL,33162,305-945-5340,False,True,True,True,False,False,False,False,False,Medium Cost
Improving Lives Community Mental — Health Center Inc,Miami,FL,33176,305-270-5305,False,True,True,True,False,False,False,True,False,Low Cost
Integrity Behavioral Health LLC,Miami,FL,33169,305-816-6300,False,True,True,True,True,False,False,True,False,Low Cost
Jackson South Community Hospital — Behavioral Health,Miami,FL,33157,305-256-5310,False,True,True,True,True,True,False,False,False,Low Cost
Jewish Community Services of — South Florida,Miami,FL,33180,305-933-9820,False,True,True,True,False,False,False,True,True,Free/No Cost
Keralty Hospital — Behavioral Health Unit,Miami,FL,33155,305-264-5252 x1800,False,True,True,True,False,False,False,True,True,Free/No Cost
Larkin Community Hospital — Outpatient Behavioral Health,Miami,FL,33143,305-284-7536,False,True,True,True,False,True,False,False,False,Medium Cost
Larking Health Systems,Miami,FL,33143,305-284-7742,False,True,True,True,False,True,False,False,False,Medium Cost
Miami Dade Community Services Inc,Miami,FL,33135,305-631-8931,False,True,True,True,True,True,False,True,True,Free/No Cost
My Florida Case Management Servs LLC — My Florida Medical Center,Miami,FL,33172,786-238-7282,False,True,True,True,False,True,False,False,False,Medium Cost
Nicklaus Childrens Hospital — Inpatient Psychiatry Unit,Miami,FL,33155,305-666-6511,False,True,True,True,True,True,False,False,False,Low Cost
Soar Community Mental Health,Miami,FL,33144,786-601-7909,False,False,True,True,False,False,False,False,False,Medium Cost
Sunshine Behavior Center Inc,Miami,FL,33174,786-615-8388,False,True,True,True,False,False,False,False,False,Medium Cost
Veterans Affairs Miami Medical Ctr — Outpatient Substance Abuse Clinic OSAC,Miami,FL,33125,305-575-7000 x17500,False,False,False,False,False,True,False,False,True,Free/No Cost
Douglas Gardens CMHC,Miami Beach,FL,33139,305-531-5341,False,True,True,True,True,False,False,False,False,Low Cost
Mount Sinai Medical Center — Behavioral Health,Miami Beach,FL,33140,305-674-2121 x52294,False,True,True,True,True,True,False,False,False,Low Cost
Ctr for Fam and Child Enrichment,Miami Gardens,FL,33056,305-624-7450 x1772,False,False,False,True,True,False,False,True,True,Free/No Cost
Clay Behavioral Health Center,Middleburg,FL,32068,904-291-5561,False,True,True,True,True,True,False,True,True,Free/No Cost
Center for Discovery — Orlando,Montverde,FL,34756,866-862-3631,False,False,True,True,False,True,False,False,False,Medium Cost
David Lawrence Center,Naples,FL,34104,239-643-6101,False,True,True,True,True,False,False,True,False,Low Cost
David Lawrence Center — Outpatient/Residential and Detox,Naples,FL,34116,239-455-8500,False,True,True,True,True,False,False,True,False,Low Cost
Child Guidance Center,Neptune Beach,FL,32266,904-448-4700 x6000,False,False,True,True,True,True,False,True,False,Low Cost
BayCare Behavioral Health — Adult Treatment Center,New Port Richey,FL,34653,727-841-4430,False,True,True,True,True,False,False,True,True,Free/No Cost
Mandala Counseling Services LLC,North Fort Myers,FL,33903,239-360-1983,False,False,True,True,False,False,False,False,False,Medium Cost
Center for Discovery — Palm Beach,North Palm Beach,FL,33408,844-546-2614,False,False,True,True,False,False,False,False,False,Medium Cost
Florida Center for Early Childhood,North Port,FL,34287,941-371-8820,False,False,True,True,True,True,False,True,True,Free/No Cost
Guest House Ocala — OP Recovery,Ocala,FL,34471,352-815-3911 x300,False,False,True,True,False,False,False,False,False,Medium Cost
Ocala Consulting and Prevention LLC,Ocala,FL,34471,352-622-4488,False,False,True,True,True,False,False,False,False,Low Cost
Vines Hospital,Ocala,FL,34471,352-671-3130,False,True,True,True,False,True,False,False,False,Medium Cost
Legacy Behavioral Health Center Inc,Okeechobee,FL,34972,863-357-8268,False,False,False,True,False,False,False,True,True,Free/No Cost
New Horizons of the Treasure Coast — Outpatient Mental Health and Substance,Okeechobee,FL,34974,863-462-0040,False,True,True,True,True,True,False,False,False,Low Cost
