id,org,street,city,state,zip,context
,,,,,,1639387509	E300 Kentucky Clinic	740 South Limestone	Lexington	KY	405360284	US	8593235867		8592576718
,,,,,,1639387509	E300 Kentucky Clinic	740 South Limestone	Lexington	KY	405360284	US	8593235867		8592576718
,,,,,,1194934307	501 N Graham St	Legacy Bone and Joint Clinic Suite 200	Portland	OR	972271654	US	5034134488		5034131812
,,,,,,1548470842	9500 Euclid Ave # J1-5	Cleveland Clinic	Cleveland	OH	441951804	US	2164446765
,,,,,,1609086388	Pleasant Point Health Center	11 Back Road	Perry	ME	4667	US	2078530644	279	2078536230
,,1700096922	301 East Hospital Road	Family Medicine Clinic	Fort Gordon,,GA,30905,1700096922	301 East Hospital Road	Family Medicine Clinic	Fort Gordon	GA	30905	US	7067872927
,,,,,,1134339203	1000 Health Center Dr		Mattoon	IL	619384644	US	2172386247		2172584175
,,,,,,1912118928	911 E Main Cross St	Edinburgh Family Health Center	Edinburgh	IN	461241501	US	8125264906		8125264900
,,,,,,1396956512	3690 Mission Boulevard	Beach Area Women's Health Center	San Diego	CA	921097199	US	6198764420		8584881714
,,,,,,1013118264	50 Lech Walesa	Tom Waddell Clinic	San Francisco	CA	941024506	US	4153557400		4153557407
,,1649471079	1900 Centra Care Circle	Centra Care Clinic Womens & Childrens	St Cloud,,MN,56303,1649471079	1900 Centra Care Circle	Centra Care Clinic Womens & Childrens	St Cloud	MN	56303	US	3206543630
,,1649471079	1900 Centra Care Circle	Centra Care Clinic Womens & Childrens	St Cloud,,MN,56303,1649471079	1900 Centra Care Circle	Centra Care Clinic Womens & Childrens	St Cloud	MN	56303	US	3206543630
,,,,,,"1073715793	516 Delaware St SE	""University of Minnesota Physici, Suite 5-100, Clinic 5B""	Minneapolis	MN	554550356	US	6126262663"
,,,,,,1275735789	UK Surgery Clinic - Markey Cancer Center	800 Rose St 1st Fl	Lexington	KY	405360293	US	8593236542
,,,,,,1740483627	1000 Health Center Dr		Mattoon	IL	619384644	US	2172384960		2172384951
,,,,,,1255534194	165 Clinic Ave		Carrollton	GA	301174413	US	7708369824		7708369850
,,,,,,1871797027	280 Henry St	Betances Health Center	New York	NY	100024816	US	2122278401		2122278842
,,,,,,1104020908	6000 W Highway 98	OBGYN clinic	Pensacola	FL	325120003	US	8505056065
,,,,,,1053516583	Cleveland Clinic	9500 Euclid Avenue	Cleveland	OH	441950001	US	2164442200
,,,,,,1306041363	3851 Roger Brooke Dr	BLDG 3600 USA DENTAL CLINIC	Fort Sam Houston	TX	782344501	US	2109160332
,,,,,,1306041363	3851 Roger Brooke Dr	BLDG 3600 USA DENTAL CLINIC	Fort Sam Houston	TX	782344501	US	2109160332
,,1497950299	3601 The Vanderbilt Clinic		Nashville,,TN,37232,1497950299	3601 The Vanderbilt Clinic		Nashville	TN	37232	US	7135150761
,,,,,,1821293523	701 S Zarzamora St	Texas Diabetes Institute--Eye Clinic	San Antonio	TX	782075209	US	2103587600
,,,,,,1518163161	24411 Health Center Dr	Suite 530	Laguna Hills	CA	926533633	US	9499511969		9499516533
,,1770789125	Albuquerque Indian Health Center	801 Vassar Drive NE	Albuquerque,,NM,87106,1770789125	Albuquerque Indian Health Center	801 Vassar Drive NE	Albuquerque	NM	87106	US	5052484064		5052487814
,,,,,,1407052707	3811 OHara St	Western Psychiatric Institute & Clinic	Pittsburgh	PA	152132593	US	4125869398
,,,,,,1376749341	1000 Health Center Dr		Mattoon	IL	619384644	US	2172384325		2173484290
,,,,,,1689871154	24411 Health Center Dr Ste 320		Laguna Hills	CA	926533633	US	9493802670		9493800907
,"1336346873 120 Plant Ave. ""Free, Family Welness Center,""",,Hauppauge,NY,11788,"1336346873	120 Plant Ave.	""Free, Family Welness Center,""	Hauppauge	NY	11788	US	2053919777		2023919766"
,,,,,,1497952444	881 State Rd # 206	CVS/Minute Clinic	Princeton	NJ	85401436	US	6096833680		6099361219
,,,,,,"1962609818	""Kaiser Permanente, Moanalua Medical Clinic""	3288 Moanalua Road	Honolulu	HI	968191469	US	8084320000"
,,,,,,1265639140	1586 County Road 134	CentraCare Clinic Sleep Center	St Cloud	MN	563030346	US	3202510726		3202295188
,,,,,,1043418551	1011 Baldwin Park Blvd	Pediatric Clinic	Baldwin Park	CA	917065806	US	6268515013	5013	6264039101
,,1932307311	1400 E Wisconsin St	CareATC Andes Clinic	Delavan,,WI,53115,1932307311	1400 E Wisconsin St	CareATC Andes Clinic	Delavan	WI	53115	US	2627251566		8553467414
,,1023216587	The Community Health Center of the New River Valley	215 Roanoke St.	Christiansburg,,VA,24073,1023216587	The Community Health Center of the New River Valley	215 Roanoke St.	Christiansburg	VA	24073	US	5403810820
,,,,,,1114125317	1025 10th Ave NE	Essentia Health Deer River Clinic	Deer River	MN	566368703	US	2182468275
,,1609074616	Billings CLinic Hospital	2800 10thAve N	Billings,,MT,59101,1609074616	Billings CLinic Hospital	2800 10thAve N	Billings	MT	59101	US	4062382500
,,1285833277	514 49th street	Sunset Terrace Family Health Center	Brooklyn,,NY,11220,1285833277	514 49th street	Sunset Terrace Family Health Center	Brooklyn	NY	11220	US	7184375257		7184375239
,,,,,,1285833137	3601 The Vanderbilt Clinic		Nashville	TN	372324633	US	6159362000
,,,,,,1245439744	400 E 3rd St	Essentia Health Duluth Clinic	Duluth	MN	558051951	US	2187868364
,,1659570083	Lewis-Ledwith Free Clinic	317 Duke St.	Tappahannock,,VA,22560,1659570083	Lewis-Ledwith Free Clinic	317 Duke St.	Tappahannock	VA	22560	US	8044439590
,,,,,,1477752723	1060 Gaffney Rd	Internal Medicine Clinic	Fort Wainwright	AK	997035001	US	9073535112
,,,,,,1083814073	3330 Barksdale Blvd	Bossier Family Medical Clinic	Bossier City	LA	711123802	US	3188415541		3188415545
,,,,,,1356541189	1000 Health Center Dr		Mattoon	IL	619384644	US	2172582440		2172582186
,,,,,,"1457551228	400 East 3rd Street	""Essentia Health Duluth Clinic, Third Street Building""	Duluth	MN	558051951	US	2187863600"
,,,,,,1598965006	157 Clinic Ave Ste 302		Carrollton	GA	301174454	US	7708125902		7708125903
,,,,,,1952501405	3601 The Vanderbilt Clinic		Nashville	TN	372320001	US	6153223000
,,,,,,1831399112	CentraCare Clinic	1200 6th Ave N	St Cloud	MN	563032735	US	5072842511
,,,,,,1174713648	1923 W Montrose Ave	MONTROSE CLINIC	Chicago	IL	606131011	US	7732818855		7732815867
,,,,,,1427248798	4500 Washington Ave	HII Family Health Center	Newport News	VA	236072530	US	7573274200
,,,,,,1932390051	41 Mall Rd	Lahey Clinic	Burlington	MA	18050001	US	7817448000
,,,,,,1336330786	495 Thomas Jones Way	Suite 210 Main Line Health Center	Exton	PA	193412553	US	4845658550		6102801569
,,,,,,1619169877	300 W Carl Karcher Way	UCI Family Health Center	Anaheim	CA	928012426	US	6178351474
,,,,,,1164614350	Allina Health Woodbury Clinic	8675 Valley Creek Rd	Woodbury	MN	551252337	US	6512413000		6512413500
,,,,,,1801088711	41 Mall Road	Lahey Clinic	Burlington	MA	18050001	US	7817448640		7817445778
,,,,,,1144412099	2200 NW 26th St	Owatonna Clinic -Mayo Health System	Owatonna	MN	550605503	US	5074511120
,,,,,,1386836195	1559 Watasheamu Rd	Washoe Tribal Health Center	Gardnerville	NV	894607455	US	7752655001		7752655027
,,1093907883	Pearl Health Clinic	2705 E. 17th St.	Ammon,,ID,83406,1093907883	Pearl Health Clinic	2705 E. 17th St.	Ammon	ID	83406	US	2083467500
,,1285826743	Morrisville State College	Building 9 Student Health Center	Morrisville,,NY,13408,1285826743	Morrisville State College	Building 9 Student Health Center	Morrisville	NY	13408	US	3156846078		3156846493
,,1629260112	902 E. Maple St.	Stillaguamish Tribal Health Clinic	Arlington,,WA,98223,1629260112	902 E. Maple St.	Stillaguamish Tribal Health Clinic	Arlington	WA	98223	US	3604359338	14	3604352266
,,,,,,1457544488	650 E Indian School Rd	(112C) Advanced Low Vision Clinic	Phoenix	AZ	850121839	US	6022775551	7592
,,,,,,1457544488	650 E Indian School Rd	(112C) Advanced Low Vision Clinic	Phoenix	AZ	850121839	US	6022775551	7592
,,,,,,1902099880	University of Connecticut Health center	263 farmington ave	farmington	CT	6030	US	8606794450
,,,,,,1245423953	1000 Health Center Dr		Mattoon	IL	619384644	US	2172384325		2173484290
,,,,,,1124211719	41 Mall Rd	Lahey Clinic	Burlington	MA	18050002	US	7817448423
,,1225222714	3601 The Vanderbilt Clinic		Nashville,,TN,37232,1225222714	3601 The Vanderbilt Clinic		Nashville	TN	37232	US	6159363000
,,,,,,1649464280	3601 The Vanderbilt Clinic		Nashville	TN	372327201	US	6153223000
,"1568656353 Stanford University Medical Center ""Pain Management Clinic, 300 Pasteur Dr., Rm A408""",,Stanford,CA,94305,"1568656353	Stanford University Medical Center	""Pain Management Clinic, 300 Pasteur Dr., Rm A408""	Stanford	CA	94305	US	6507236238		6507257743"
,,,,,,1538354600	1000 Health Center Dr		Mattoon	IL	619384644	US	2172384960		2172384951
,,,,,,1083809149	308 Main Street	Olathe Comm Clinic DBA River Valley Family Health Ctr	Olathe	CO	814250529	US	9703236141		9703236117
,,1356537088	107 Doctors Park	Starkville Clinic for Women	Starkville,,MS,39759,1356537088	107 Doctors Park	Starkville Clinic for Women	Starkville	MS	39759	US	6623234427
,,1942496096	1510 Turqoise Road	Bullhead City Clinic Corporation/ Silver Creek Family P	Bullhead City,,AZ,86442,1942496096	1510 Turqoise Road	Bullhead City Clinic Corporation/ Silver Creek Family P	Bullhead City	AZ	86442	US	9287639290	25	9287637628
,,,,,,1962699132	Cleveland Clinic Foundation	9500 Euclid Avenue	Cleveland	OH	441950001	US	2164442200
,,1902094923	Acoma Canoncito Laguna Indian Health Center	80B Veteran's Blvd	Acoma,,NM,87034,1902094923	Acoma Canoncito Laguna Indian Health Center	80B Veteran's Blvd	Acoma	NM	87034	US	5055525300		5055525828
,,,,,,1912196981	321 N Warren St	Henry J Austin Health Center Inc	Trenton	NJ	86184741	US	6092785939		6096953532
,,,,,,1023297744	6655 S Yale Ave	Laureate Psychiatric Clinic and Hospital	Tulsa	OK	741363326	US	9184814000		9184915740
,,,,,,1427238666	807 Childrens Way	Nemours Childrens Clinic	Jacksonville	FL	322078426	US	9046973694		9046973927
,,1508046376	1809 National Avenue	Logan Heights Family Health Center	San Diego,,CA,92113,1508046376	1809 National Avenue	Logan Heights Family Health Center	San Diego	CA	92113	US	6195152300		6192342447
,,,,,,1477733012	8300 Floyd Curl Dr	Urology Clinic	San Antonio	TX	782293931	US	2104509600
,,,,,,1114107620	308 Main Street	Olathe Comm Clinic dba River Valley Family Health	Olathe	CO	814250529	US	9703236141		9703236117
,,,,,,1164603478	5503 N Fry Rd Ste 101A	DANNY JACKSON HEALTH CENTER	Katy	TX	774495846	US	7139827071
,,,,,,1285815720	Pine Point Clinic	47520 282nd Street	Ponsford	MN	565750064	US	2185732162		2189836307
,,1558543447	331 E. 8th Street	Mental Health Center	Anniston,,AL,36207,1558543447	331 E. 8th Street	Mental Health Center	Anniston	AL	36207	US	2562363403
,,,,,,1962685610	1035 1st Ave West	Flathead Community Health Center	Kalispell	MT	599015607	US	4067518113		4067518151
,,,,,,1790969046	3601 The Vanderbilt Clinic		Nashville	TN	372323609	US	6153223000
,,1215112073	Marion VA Clinic	1203 Delaware Avenue Suite 2	Marion,,OH,43302,1215112073	Marion VA Clinic	1203 Delaware Avenue Suite 2	Marion	OH	43302	US	7402238809
,,,,,,1447435334	The Physical Medicine Clinic	788 Convery Blvd	Perth Amboy	NJ	8861	US	7323244300
,,1992981542	US Hwy 160 & Navajo Route 25	Four Corners Regional Health Center	Teec Nos Pos,,AZ,86514,1992981542	US Hwy 160 & Navajo Route 25	Four Corners Regional Health Center	Teec Nos Pos	AZ	86514	US	9286565165		9286565164
,,1407032998	550 PEACHTREE STREET	Infectious Diseases Clinic	ATLANTA,,GA,30308,1407032998	550 PEACHTREE STREET	Infectious Diseases Clinic	ATLANTA	GA	30308	US	4046868114
,,,,,,1346426038	1365 Clifton Rd NE	Clinic B Suite 1200	Atlanta	GA	303221013	US	4047783184
,,,,,,1205013117	52 Hazelnut Road	Pequot Health Center	Groton	CT	6340	US	8604468265
,,1821276676	307 Boatner Rd	96 MDG/Family Health Clinic	Eglin AFB,,FL,32542,1821276676	307 Boatner Rd	96 MDG/Family Health Clinic	Eglin AFB	FL	32542	US	8508838448
,,,,,,1104094945	12500 W Sunrise Blvd	The Little Clinic/ Inside Publix	Sunrise	FL	333232987	US	9546224999		9546224998
,,,,,,1902075278	14999 Health Center Dr Ste 222		Bowie	MD	207161074	US	4108854411		4108854409
,,,,,,1366611634	Marshfield Clinic	1000 N Oak Avenue	Marshfield	WI	544495703	US	7153875511
,,,,,,1801065990	K302 Ky Clinic	740 S. Limestone	Lexington	KY	405360284	US	8593236711
,,1366611345	Mayo Clinic Dept Of Radiology 200 First Street SW		Rochester,,MN,55905,1366611345	Mayo Clinic Dept Of Radiology 200 First Street SW		Rochester	MN	55905	US	5072842511		5072842405
,,,,,,1275702763	126 Missouri Ave	GLWACH - Family Medicine Clinic	Fort Leonard Wood	MO	654738952	US	5735961765		5735960054
,"1760651210	""1701 John F Kennedy Blvd, Comcast Health Center""	Floor",25	Philadelphia,"Comcast Health Center""	Floor 25	Philadelphia",PA,19103,"1760651210	""1701 John F Kennedy Blvd, Comcast Health Center""	Floor 25	Philadelphia	PA	19103	US	2153302029"
,,,,,,1114198678	Cleveland Clinic Foundation		Cleveland	OH	441950001	US	2164442200
,,,,,,1730350158	4881 Sugar Maple Dr	C/O Internal Medicine Clinic A	Wright Patterson AFB	OH	454335529	US	9372579927
,,1114199130	1200 Children's Avenue	Clinic 5F	Oklahoma City,,OK,73104,1114199130	1200 Children's Avenue	Clinic 5F	Oklahoma City	OK	73104	US	4052716208		4143377020
,,,,,,1699947655	1301 Medical Center Dr	3927 The Vanderbilt Clinic	Nashville	TN	372320028	US	6159368422		6159361812
,,,,,,1487826244	Cleveland Clinic - Glickman Urological Institute	9500 Euclid Ave A100	Cleveland	OH	441950001	US	2164442200	27993
,,,,,,1013180595	3601 The Vanderbilt Clinic		Nashville	TN	372324619	US	6153223000
,,,,,,1679746085	3725 W 4100 S	Granger Medical Clinic	West Valley City	UT	841205530	US	8019653419
,,,,,,1073786240	3601 The Vanderbilt Clinic		Nashville	TN	372320001	US	6153223000
,,1396918462	Harris Village Clinic	251 N 1st St	Tooele,,UT,84074,1396918462	Harris Village Clinic	251 N 1st St	Tooele	UT	84074	US	4352285151	904
,,,,,,1346413291	1000 1st Dr NW	Mayo Clinic Health System - Austin	Austin	MN	559122941	US	5074341928
,,,,,,"1508039421	5153 N 9th Ave	""Nemours Childrens Clinic, Pensacola""	Pensacola	FL	325048785	US	8505054775		8505054711"
,,,,,,1770757528	3601 The Vanderbilt Clinic		Nashville	TN	372320001	US	6153223000
,,,,,,1780858589	580 Rice St	Bethesda Clinic	Saint Paul	MN	551032148	US	6512276551
,,1235303991	Highway 163	Kayenta Health Center	Kayenta,,AZ,86033,1235303991	Highway 163	Kayenta Health Center	Kayenta	AZ	86033	US	9286974185
,,,,,,1497929814	Cleveland Clinic	9500 Euclid Avenue/J4-133	Cleveland	OH	441950001	US	2164456816
,,1619141918	760 Broadway	Woodhull Mental Health & Mental Health Center	Brooklyn,,NY,11206,1619141918	760 Broadway	Woodhull Mental Health & Mental Health Center	Brooklyn	NY	11206	US	7189638000
,,,,,,1801060157	Cleveland Clinic	9500 Euclid Ave	Cleveland	OH	441950001	US	2164442200
,,,,,,1801060157	Cleveland Clinic	9500 Euclid Ave	Cleveland	OH	441950001	US	2164442200
,,1437323748	2211 Lomas Blvd NE 2nd Floor	UNM Surgical Specialties Clinic	Albuquerque,,NM,87106,1437323748	2211 Lomas Blvd NE 2nd Floor	UNM Surgical Specialties Clinic	Albuquerque	NM	87106	US	5052722336
,,,,,,1952575185	325 Cherry Ave	Care of Student Health Center	Mc Kenzie	TN	382011769	US	7313526939
,,,,,,1316111545	7800 SW 104th St	ATTN: CLINIC	Miami	FL	331562631	US	3057022131
,,,,,,1033383104	Marshfield Clinic	1000 N Oak Ave	Marshfield	WI	544495703	US	7153875511
,,1366616344	7 Medical Blvd	Comprehensive Care Clinic	Hattiesburg,,MS,39401,1366616344	7 Medical Blvd	Comprehensive Care Clinic	Hattiesburg	MS	39401	US	6012962980		6015795240
,,,,,,1093989097	Ruscombe Mansion Community Health Ctr	4801 Yellowwood Ave	Baltimore	MD	212094622	US	4103675622		4103671960
,,,,,,1386818391	610 W 158th St	Farrell Community Health Center	New York	NY	100327104	US	2125441881		2125441870
,,,,,,1568637387	2950 Cleveland Clinic Blvd		Weston	FL	333313609	US	9546595000
,,,,,,1992970271	1000 Health Center Dr		Mattoon	IL	619384644	US	2172384960		2172384951
,,,,,,1710152020	307 Ogden Ave	Clinton Clinic	Clinton	WI	535259007	US	6086762206		6086764029
,,,,,,1316113376	1101 9th St N	Essentia Health Virginia Clinic	Virginia	MN	557922329	US	2187410150
,,,,,,1104092055	41 Mall Rd	Lahey Clinic	Burlington	MA	18050001	US	7817448692		7817445345
,,,,,,1104092055	41 Mall Rd	Lahey Clinic	Burlington	MA	18050001	US	7817448692		7817445345
,,,,,,1669648309	1000 Health Center Dr		Mattoon	IL	619384644	US	2172386247		2172584175
,,,,,,1831365345	Marshfield Clinic	1000 N Oak Avenue	Marshfield	WI	544495703	US	7152215511		7153890626
,,,,,,1790952711	4100 W 3rd St	Eye Clinic 112-E	Dayton	OH	454289000	US	9372686511
,,,,,,1598932345	8450 Seasons Pkwy - Mail Stop 32900A	HealthPartners Woodbury Clinic	Woodbury	MN	551254402	US	6517025300		6517025305
,,,,,,1982871331	2540 East St	John Muir Health Breast Health Center	Concord	CA	945201906	US	9256742001		9256742209
,,,,,,1285891952	41 Mall Rd.	Lahey Clinic	Burlington	MA	18050001	US	7817448561		7817441099
,,,,,,"1104083781	Department Of Radiology Cleveland Clinic	""9500 Euclid Avenue, Hb6""	Cleveland	OH	441950001	US	2164442136"
,,,,,,1063670362	1000 Health Center Dr		Mattoon	IL	619384644	US	2172384325		2173484290
,,,,,,1396903134	653 W 8th St	Faculty Clinic 3rd Floor	Jacksonville	FL	322096511	US	9042443689		9042443870
,,,,,,"1417115106	415 E Windsor St Ste B	""Community Health Services of Union County, Inc""	Monroe	NC	281124878	US	7042960909		7042960946"
,,,,,,1649438177	7001 Corporate Dr	Hope Clinic	Houston	TX	770365110	US	2815582737
,,,,,,1679732036	13400 E Shea Blvd	Mayo Clinic Arizona	Scottsdale	AZ	852595452	US	4803018000
,"1740449677 ""433 Plaza St., Ste. 1A"" Our Lady of the Angels Pediatric Clinic",,Bogalusa,LA,70427,"1740449677	""433 Plaza St., Ste. 1A""	Our Lady of the Angels Pediatric Clinic	Bogalusa	LA	70427	US	9857306970		9857306398"
,,,,,,1912166752	3601 The Vanderbilt Clinic		Nashville	TN	372320001	US	6153223000
,,,,,,1417117979	24411 Health Center Dr Ste 320		Laguna Hills	CA	926533633	US	9493802670		9493800907
,,,,,,1205096609	9500 Euclid Ave # T28	Cleveland Clinic Foundation	Cleveland	OH	441950001	US	2164447923
,,,,,,1255591608	576 Jefferson Ave	McDonald Army Health Center	Fort Eustis	VA	236041373	US	7573147743
,,1477713188	Naval Health Clinic Cherry Point	4389 Beaufort Road	Cherry Point,,NC,28533,1477713188	Naval Health Clinic Cherry Point	4389 Beaufort Road	Cherry Point	NC	28533	US	2524550266		2524660127
,,1477713188	Naval Health Clinic Cherry Point	4389 Beaufort Road	Cherry Point,,NC,28533,1477713188	Naval Health Clinic Cherry Point	4389 Beaufort Road	Cherry Point	NC	28533	US	2524550266		2524660127
,,,,,,1023279643	1000 Health Center Dr		Mattoon	IL	619384644	US	2172582551		2172582256
,,,,,,"1386804961	Blackstone Valley Free Medical Clinic	""NHS, 427 Linwood Avenue""	WHITINSVILLE	MA	1588	US	5082780613"
,,,,,,1750542031	Marshfield Clinic	1000 N Oak Ave	Marshfield	WI	544495703	US	7153890791
,,,,,,1861653149	1000 Health Center Dr		Mattoon	IL	619384644	US	2172582551		2172582256
,,,,,,1376704536	3601 The Vanderbilt Clinic		Nashville	TN	372325001	US	6153223000
,,,,,,1487816161	1000 Health Center Dr Ste 302		Mattoon	IL	619384644	US	2172384770		2172341204
,,,,,,1235391772	1 Munro Ave	Samuel J Call Health Center	Cape May	NJ	82045000	US	6098986283
,,1457513806	3800 S. National Ave Suite LL 110	Coxhealth Infectious Diseases Specialty Clinic	Springfield,,MO,65807,1457513806	3800 S. National Ave Suite LL 110	Coxhealth Infectious Diseases Specialty Clinic	Springfield	MO	65807	US	4172697784		4172696721
,,,,,,"1780846907	""North DeKalb Health Center, 3807 Clairmont Rd, NE""		Chamblee	GA	303414911	US	4046160700		4046163078"
,,,,,,1124280367	77 Nealy Ave	Women's Health Clinic	Langley AFB	VA	236652040	US	7572257630	3
,,1982866158	3901 Hoyt	The Everett Clinic	Everett,,WA,98201,1982866158	3901 Hoyt	The Everett Clinic	Everett	WA	98201	US	4253395408		4253033096
,,,,,,1861654675	1000 Health Center Dr		Mattoon	IL	619389253	US	2178952222		2178953598
,,,,,,"1396908067	""160 Main Road, Suite 90""	Branch Health Clinic Yorktown	Yorktown	VA	236910090	US	7579538445"
,,,,,,1003079773	MHC Healthcare Marana Main Health Center	13395 N Marana Main St	Marana	AZ	856538565	US	5204337000		5203008013
,,,,,,"1962665430	Uk Division Of Pulmonary Critical Care	""740 S. Limestone, L543 Ky Clinic""	Lexington	KY	405360284	US	8593235045		8592572418"
,,,,,,"1528222460	900 S Adams St	""Nevada Medical Clinic, LLC""	Nevada	MO	647723210	US	4176676015	341	4176673007"
,,,,,,1215191754	2300 N Rockton Ave	Main Clinic Endocrinology Dept	Rockford	IL	611033619	US	8159712000		8159719929
,,,,,,"1174787576	740 S Limestone L543 Ky Clinic	""UK Div of Pulmonary, Critical Care""	Lexington	KY	405360284	US	8593235045		8592572418"
,,1932363108	Clark Health Clinic	Bldg 5-4257	FPO,,AA,28310,1932363108	Clark Health Clinic	Bldg 5-4257	FPO	AA	28310	US	9109079557
,,,,,,1821252164	740 south Limestone	E325 Kentucky clinic	Lexington	KY	405360284	US	8582182631
,,,,,,1821252164	740 south Limestone	E325 Kentucky clinic	Lexington	KY	405360284	US	8582182631
,,,,,,1265697254	23 Rd Aeromedical Dental Squadron	3278 Mitchell Blvd Flight Med clinic	Moody A F B	GA	316990001	US	9414650536
,,,,,,1548425549	3601 The Vanderbilt Clinic		Nashville	TN	372320001	US	6153223000
,,1508021494	760 Broadway	Woodhull Mental & Medical Health Center	Brooklyn,,NY,11206,1508021494	760 Broadway	Woodhull Mental & Medical Health Center	Brooklyn	NY	11206	US	7189638000	3129	7186303122
,,,,,,1710142435	1201 Health Center Pkwy		Yukon	OK	730996381	US	4057176800		4057177964
,,,,,,1710142435	1201 Health Center Pkwy		Yukon	OK	730996381	US	4057176800		4057177964
,,,,,,1154586741	101 Clinic Dr		Tarboro	NC	278861935	US	2528232105
,,,,,,1780849398	37 Clinic Rd	Eleanor Widener Dixon Memorial Clinic	Gouldsboro	ME	46074013	US	2079634066		2079637723
,,,,,,1780849398	37 Clinic Rd	Eleanor Widener Dixon Memorial Clinic	Gouldsboro	ME	4607	US	2079634066		2079637723
,,,,,,1780849398	37 Clinic Rd	Eleanor Widener Dixon Memorial Clinic	Gouldsboro	ME	4607	US	2079634066		2079637723
,,,,,,1881859353	1205 Health Center Pkwy	Suite 100	Yukon	OK	730996396	US	4057175400		4057175467
,,,,,,1790940096	214 Clinic Dr		Donaldsonville	LA	703464309	US	2257655500		2254734406
,,,,,,1538325477	1000 Health Center Dr		Mattoon	IL	619384644	US	2172386247		2172584175
,,1508022484	27700 Northwest Fwy Ste 310	Lone Star Lung & Sleep Clinic	Cypress,,TX,77433,1508022484	27700 Northwest Fwy Ste 310	Lone Star Lung & Sleep Clinic	Cypress	TX	77433	US	2818704567		2818704884
,,,,,,1336305051	1000 Health Center Dr		Mattoon	IL	619384644	US	2172582551		2172582256
,,,,,,1790941581	1007 Health Center Dr		Mattoon	IL	619384693	US	2172587400		2172587401
,,,,,,1962668624	243 Charles St	Glaucoma Clinic	Boston	MA	21143002	US	6175237900
,,,,,,1467618058	911 Bypass Rd	6th Floor Clinic	Pikeville	KY	415011689	US	6062181000		6062187506
,,,,,,"1902062433	424 Harvard St SE	""Masonic Cancer Clinic, University of Minnesota""	Minneapolis	MN	554550362	US	8006885252"
,,1730345307	Marshfield Clinic Minocqua Center	9576 Hwy 70	Minocqua,,WI,54548,1730345307	Marshfield Clinic Minocqua Center	9576 Hwy 70	Minocqua	WI	54548	US	7153581000
,,,,,,1518123843	1000 Health Center Dr		Mattoon	IL	619389261	US	2172384325		2173484290
,,,,,,1104072305	1000 Health Center Dr		Mattoon	IL	619384644	US	2172386247		2172584175
,,,,,,1295981280	3601 The Vanderbilt Clinic		Nashville	TN	372320001	US	6153223000
,,,,,,1518114313	5605 E Rockton Rd	NorthPointe Clinic	Roscoe	IL	610737601	US	8155254500		8155254500
,,,,,,1396992962	1 Cvs Dr	Minute Clinic credentialing-2100	Woonsocket	RI	28956146	US	4017701981
,,,,,,1396992962	1 Cvs Dr	Minute Clinic credentialing-2100	Woonsocket	RI	28956146	US	4017701981
,,,,,,1568610129	1930 Coon Rapids Blvd NW	Family Life Mental Health Center	Coon Rapids	MN	554334708	US	7634277964		7634277976
,,,,,,1154570042	2950 Cleveland Clinic Blvd		Weston	FL	333313609	US	9546595212
,,,,,,1306095963	330 Lewis St	Internal Medicine Clinic	San Diego	CA	921032108	US	6194719250
,,,,,,1245481944	600 Gresham Dr	Advanced HEart Failure Clinic	Norfolk	VA	235071904	US	7573883934		7573882957
,,,,,,1285885087	1200 Sixth Ave N	Centracare Clinic	St Cloud	MN	563032735	US	3202512700
,,,,,,1790937407	722 Clinic Dr		Tyler	TX	757012001	US	9035319901		9035319739
,,1902058555	Marshfield Clinic	1000 N Oak Avenue	Marshfield,,WI,54449,1902058555	Marshfield Clinic	1000 N Oak Avenue	Marshfield	WI	54449	US	7153875511
,,,,,,1013169143	240 Union Station Plz	Dr. Hadi Ghazzouli-Dental Clinic	Bethlehem	PA	180151281	US	2158806067
,,,,,,1043462997	101 Manning Dr	Infectious Disease Clinic - 1st floor Memorial Hospital	Chapel Hill	NC	275997030	US	9199667198		9199664587
,,1053564849	5838 Germantown Ave	St Catherine Laboure Medical Clinic	Philadelphia,,PA,19144,1053564849	5838 Germantown Ave	St Catherine Laboure Medical Clinic	Philadelphia	PA	19144	US	2154385799
,,,,,,1902059314	160 Clinic Ave		Carrollton	GA	301174451	US	7702142800		7702142803
,,,,,,1467605683	777 Cass Ave	High School Health Clinic - Woonsocket High School	Woonsocket	RI	28954719	US	4017674100
,"1134373038 2141 N Harbor Blvd ""Attn: Speciality Clinic -Onc (c/o: Dr. Julie Lee, LMFT)""",,Fullerton,CA,92835,"1134373038	2141 N Harbor Blvd	""Attn: Speciality Clinic -Onc (c/o: Dr. Julie Lee, LMFT)""	Fullerton	CA	92835	US	7142516405"
,,,,,,1710131511	2200 Bergquist Dr Ste 159	Pulmonary Disease Clinic	Jbsa Lackland	TX	782369907	US	2102927179
,,1487809943	1600 ELY ST	BELLIN EMPLOYER CLINIC MARINETTE MARINE	MARINETTE,,WI,54143,1487809943	1600 ELY ST	BELLIN EMPLOYER CLINIC MARINETTE MARINE	MARINETTE	WI	54143	US	7157321649		7157321649
,,1649425836	3601 The Vanderbilt Clinic		Nashville,,TN,37232,1649425836	3601 The Vanderbilt Clinic		Nashville	TN	37232	US	6153223000
,,,,,,1649417353	101 Clinic Dr		Tarboro	NC	278861935	US	2528232105
