org,street,city,state,zip,affordable,score
, GOLDEN VALLEY HEALTH CENTERS 737 W Childs Ave Merced,,CA,95341-6805,True,1
, SACOPEE VALLEY HEALTH CENTER 70 Main St Porter,,ME,04068-3527,True,1
, VIRGINIA GARCIA MEMORIAL HEALTH CENTER 3305 NE Aloclek Dr Hillsboro,,OR,97124-7143,True,1
" ""COMMUNITY HEALTH AND DENTAL CARE, INC.""",351 W Schuylkill Rd Pottstown,"INC."" 351 W Schuylkill Rd Pottstown",PA,19465-7438,True,1
" ""Alliance Community Healthcare, Inc.""",26 Journal Sq STE 1600 Jersey City,"Inc."" 26 Journal Sq STE 1600 Jersey City",NJ,07306-4103,True,1
, ADAMS COUNTY HEALTH CENTER INC 205 N Berkley St Council,,ID,83612-5015,True,1
, PROJECT VIDA HEALTH CENTER 3607 Rivera Ave El Paso,,TX,79905-2415,True,1
" ""TEXAS ASSOCIATION OF COMMUNITY HEALTH CENTERS, INC."" ""5900 Southwest Pkwy, Building 3""",,Austin,TX,78735-6205,True,1
, SUNCOAST COMMUNITY HEALTH CENTERS INC 313 S Lakewood Dr Brandon,,FL,33511-2815,True,1
" ""Good Samaritan Health Center of Cobb, Inc.""",1605 Roberta Dr SW Marietta,"Inc."" 1605 Roberta Dr SW Marietta",GA,30008-3855,True,1
" ""Friend Family Health Center, Inc.""",800 East 55Th Street Chicago,"Inc."" 800 East 55Th Street Chicago",IL,60615-4906,True,1
, PARTNERSHIP COMMUNITY HEALTH CENTER INC 5337 W Grande Market Dr Appleton,,WI,54913-8442,True,1
" ""EAST VALLEY COMMUNITY HEALTH CENTER, INC""",420 S Glendora Ave West Covina,"INC"" 420 S Glendora Ave West Covina",CA,91790-3001,True,1
, WARREN-VANCE COMMUNITY HEALTH CENTER INC 176 South Beckford Drive Henderson,,NC,27536-2598,True,1
, COMMUNITY HEALTH CLINIC INC 943 4th Ave New Kensington,,PA,15068-6409,True,1
" ""HOUSTON COMMUNITY HEALTH CENTERS, INC.""",424 Hahlo St Houston,"INC."" 424 Hahlo St Houston",TX,77020-3022,True,1
" ""GOOD SHEPHERD COMMUNITY CLINIC, INC.""",20 12th Ave NW Ardmore,"INC."" 20 12th Ave NW Ardmore",OK,73401-5722,True,1
" ""N.E.W. COMMUNITY CLINIC, LTD.""",610 N Broadway Green Bay,"LTD."" 610 N Broadway Green Bay",WI,54303-3426,True,1
, MEMPHIS HEALTH CENTER INC 360 E Eh Crump Blvd Memphis,,TN,38126-5310,True,1
, Gracelight Community Health 4816 E 3rd St Los Angeles,,CA,90022,True,1
" KEYSTONE RURAL HEALTH CENTER ""111 Chambers Hill Dr, Suite 200""",,Chambersburg,PA,17201-7304,True,1
" ""CAN COMMUNITY HEALTH, INC.""",9040 Town Center Pkwy Lakewood Ranch,"INC."" 9040 Town Center Pkwy Lakewood Ranch",FL,34202-4101,True,1
" B-K HEALTH CENTER INC. ""498 S Main St, Ste D""",,Montrose,PA,18801-1317,True,1
" ""HAMAKUA HEALTH CENTER, INC"" 45-",549 Plumeria St Honokaa,"INC"" 45-549 Plumeria St Honokaa",HI,96727-6902,True,1
" ""NORTHEASTERN OKLAHOMA COMMUNITY HEALTH CENTERS, INC.""",124 E Main St Hulbert,"INC."" 124 E Main St Hulbert",OK,74441-8902,True,1
, SUNRISE COMMUNITY HEALTH 2930 11th Ave Evans,,CO,80620-1011,True,1
" ""COMMUNITY HEALTH CENTERS OF BURLINGTON, INC.""",617 Riverside Ave Burlington,"INC."" 617 Riverside Ave Burlington",VT,05401-1601,True,1
, NORTH CENTRAL TEXAS COMMUNITY HEALTH CAR 200 Mlk Jr Blvd Wichita Falls,,TX,76301-1152,True,1
, PILLARS COMMUNITY HEALTH 5220 East Ave Countryside,,IL,60525-3133,True,1
, COMMUNITY HEALTH CONNECTION INC 2321 E 3rd St Tulsa,,OK,74104-1831,True,1
, DESERT SENITA COMMUNITY HEALTH CENTER 410 N Malacate St Ajo,,AZ,85321-2254,True,1
" ""PEOPLES COMMUNITY HEALTH CLINIC, INC.""",905 Franklin St Waterloo,"INC."" 905 Franklin St Waterloo",IA,50703-4407,True,1
" ""COMMUNITY HEALTH CENTERS OF WESTERN KENTUCKY, INC"" ""480 Hopkinsville St, #2""",,Greenville,KY,42345-1124,True,1
" ""COMMUNITY HEALTH OF EAST TENNESSEE, INC.""",130 Independence Ln La Follette,"INC."" 130 Independence Ln La Follette",TN,37766-3031,True,1
, STAR COMMUNITY HEALTH INC 388 Memorial Pkwy Phillipsburg,,NJ,08865-1535,True,1
, CENTRAL COUNTIES HEALTH CENTERS 2239 E Cook St Springfield,,IL,62703-,True,1
" ""SOUTHERN INDIANA COMMUNITY HEALTH CARE, INC""",420 W Longest St Paoli,"INC"" 420 W Longest St Paoli",IN,47454-8802,True,1
" ""DUFFY HEALTH CENTER, INC.""",94 Main Street Hyannis,"INC."" 94 Main Street Hyannis",MA,02601-3146,True,1
, COLUMBIA VALLEY COMMUNITY HEALTH 600 Orondo Ave Wenatchee,,WA,98801-2800,True,1
" COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS ""205 W Randolph St, Ste 1340""",,Chicago,IL,60606-1814,True,1
, MATTAPAN COMMUNITY HEALTH CENTER INC 1575 Blue Hill Avenue Mattapan,,MA,02126-2122,True,1
" Seattle Roots Community Health ""2101 E Yesler Way, #210""",,Seattle,WA,98122-5959,True,1
, SAYRE HEALTH CENTER 5800 Walnut St Philadelphia,,PA,19139-3836,True,1
" ""Kuumba Community Health & Wellness Center, Inc.""",3716 Melrose Ave NW Roanoke,"Inc."" 3716 Melrose Ave NW Roanoke",VA,24017-2716,True,1
" ""COMMUNITY HEALTH CENTER OF CAPE COD, INC.""",107 Commercial Street Mashpee,"INC."" 107 Commercial Street Mashpee",MA,02649-6507,True,1
" ""NEVADA HEALTH CENTERS, INC.""",3325 Research Way Carson City,"INC."" 3325 Research Way Carson City",NV,89706-7913,True,1
" COMMUNITY HEALTH CENTERS INC ""1455 W 2200 S, Ste 300"" West Valley",,City,UT,84119-7219,True,1
" ""FIRST CHOICE HEALTH CENTERS, INC.""",94 Connecticut Blvd East Hartford,"INC."" 94 Connecticut Blvd East Hartford",CT,06108-3013,True,1
, LIVINGSTON COMMUNITY HEALTH 600 B St Livingston,,CA,95334-9593,True,1
" ""FLATHEAD COMMUNITY HEALTH CENTER, INC.""",1035 1st Avenue West Kalispell,"INC."" 1035 1st Avenue West Kalispell",MT,59901-5627,True,1
" ""CHARLES RIVER COMMUNITY HEALTH, INC""",495 Western Avenue Brighton,"INC"" 495 Western Avenue Brighton",MA,02135-1007,True,1
, AFFINITY HEALTH CENTER 455 Lakeshore Pkwy Rock Hill,,SC,29730-4205,True,1
" ""FRANKLIN PRIMARY HEALTH CENTER, INC.""",1303 Dr Martin L King Jr Ave Mobile,"INC."" 1303 Dr Martin L King Jr Ave Mobile",AL,36603-5398,True,1
" ""SOUTHERN HIGHLANDS COMMUNITY MENTAL HEALTH CENTER, INC""",200 12th Street Ext Princeton,"INC"" 200 12th Street Ext Princeton",WV,24740-2329,True,1
, JOHNSON HEALTH CENTER 320 Federal St Lynchburg,,VA,24504-2306,True,1
, VERA FRENCH COMMUNITY MENTAL HEALTH CENTER 1441 W Central Park Ave Davenport,,IA,52804-1707,True,1
, LEYDEN FAMILY SERVICE & MENTAL HEALTH CENTER 10001 Grand Ave Franklin Park,,IL,60131-2563,True,1
" ""MARSHALL COMMUNITY HEALTH CONSORTIUM, INC""",1600 Medical Center Dr Huntington,"INC"" 1600 Medical Center Dr Huntington",WV,25701-3654,True,1
" ""GATEWAY COMMUNITY HEALTH CENTER, INC.""",1515 Pappas St Laredo,"INC."" 1515 Pappas St Laredo",TX,78041-1705,True,1
" ""GENERATIONS FAMILY HEALTH CENTER, INC""",40 Mansfield Ave Willimantic,"INC"" 40 Mansfield Ave Willimantic",CT,06226-,True,1
" ""ST. THOMAS COMMUNITY HEALTH CENTER, INC.""",1020 Saint Andrew St New Orleans,"INC."" 1020 Saint Andrew St New Orleans",LA,70130-5022,True,1
, HILLSDALE COMMUNITY HEALTH CENTER 168 S Howell St Hillsdale,,MI,49242-,True,1
, JACKSON FREE CLINIC 925 Martin Luther King Jr Dr Jackson,,MS,39203-2233,True,1
" ""Bullhook Community Health Center, Inc.""",521 4th St Havre,"Inc."" 521 4th St Havre",MT,59501-3649,True,1
, GREAT SALT PLAINS HEALTH CENTER 405 S Oklahoma Ave Cherokee,,OK,73728-2545,True,1
, INNER CITY HEALTH CENTER 3800 N York St Denver,,CO,80205-3540,True,1
, KIDS' COMMUNITY CLINIC OF BURBANK 400 W Elmwood Ave Burbank,,CA,91506-3304,True,1
, MAGNOLIA REGIONAL HEALTH CENTER 611 Alcorn Dr Corinth,,MS,38834-9321,True,1
, SANTA CRUZ COMMUNITY HEALTH CENTERS 125 Water St STE B Santa Cruz,,CA,95060-2792,True,1
, COMPREHENSIVE MENTAL HEALTH CENTER OF TACOMA-PIERCE COUNTY 737 Fawcett Ave Tacoma,,WA,98402-5503,True,1
, Monroe County Health Center Board of Trustees 200 Health Center Dr Union,,WV,24983-8442,True,1
" FRIENDS OF FAMILY HEALTH CENTER ""501 S Idaho St, Ste 100"" La",,Habra,CA,90631-6047,True,1
, BERKS COMMUNITY HEALTH CENTER 838 Penn St Reading,,PA,19602-1108,True,1
" ""PROGRESSIVE COMMUNITY HEALTH CENTERS, INC""",3522 W Lisbon Ave Milwaukee,"INC"" 3522 W Lisbon Ave Milwaukee",WI,53208-,True,1
" TALBERT HOUSE HEALTH CENTER D/B/A CENTERPOINT HEALTH ""333 Conover Dr, Ste B""",,Franklin,OH,45005-,True,1
, HEALTH REACH COMMUNITY HEALTH CENTERS 10 Water St Waterville,,ME,04901-6559,True,1
" ""ARIZONA COMMUNITY HEALTH WORKERS ASSOCIATION, INC""",303 E 16th St UNIT C Douglas,"INC"" 303 E 16th St UNIT C Douglas",AZ,85607-1310,True,1
" ""SOUTH COVE COMMUNITY HEALTH CENTER, INC""",145 South Street Boston,"INC"" 145 South Street Boston",MA,02111-2826,True,1
, NORTH CAROLINA COMMUNITY HEALTH CENTER ASSOCIATION 4917 Waters Edge Dr STE 165 Raleigh,,NC,27606-2459,True,1
" ""LINCOLN COUNTY COMMUNITY HEALTH CENTER, INCORPORATED""",320 E 2nd St Libby,"INCORPORATED"" 320 E 2nd St Libby",MT,59923-,True,1
" ""COMMUNITY HEALTH CENTER OF THE BLACK HILLS, INC.""",350 Pine St Rapid City,"INC."" 350 Pine St Rapid City",SD,57701-1669,True,1
" ""CHOPTANK COMMUNITY HEALTH SYSTEM, INC.""",301 Randolph St Denton,"INC."" 301 Randolph St Denton",MD,21629-1243,True,1
, GEORGIA DEPARTMENT OF COMMUNITY HEALTH 2 Martin Luther King Jr Dr SE Atlanta,,GA,30334-9008,True,1
" ""Health Center Network of New York, Inc.""",165 Main St Ossining,"Inc."" 165 Main St Ossining",NY,10562-4798,True,1
" HEALTH CENTER ASSOCIATION OF NEBRASKA ""3929 S 147th St, Ste 100A""",,Omaha,NE,68144-5529,True,1
, PUREVIEW HEALTH CENTER 9th Ave Helena,,MT,59601-9753,True,1
, MOUNTAIN FAMILY HEALTH CENTERS Blake Ave Glenwood Springs,,CO,81601-4288,True,1
, MT. ENTERPRISE COMMUNITY HEALTH CLINIC 106 W Rusk St Mount Enterprise,,TX,75681-7581,True,1
" ""OKLAHOMA COMMUNITY HEALTH CENTERS, INC""",6501 Broadway Ext STE 200 Oklahoma City,"INC"" 6501 Broadway Ext STE 200 Oklahoma City",OK,73116-8249,True,1
, COMMUNITY CLINICS HEALTH NETWORK 3710 Ruffin Rd San Diego,,CA,92123-1812,True,1
" ""COMMUNITY HEALTH SYSTEMS, INC.""",21801 Alessandro Blvd Moreno Valley,"INC."" 21801 Alessandro Blvd Moreno Valley",CA,92553-8202,True,1
" ""UPPER VALLEY COMMUNITY HEALTH, SERVICES INC""",322 E 1st N Saint Anthony,"SERVICES INC"" 322 E 1st N Saint Anthony",ID,83445-1602,True,1
" ""KENOSHA COMMUNITY HEALTH CENTER, INC.""",4006 Washington Rd STE 100 Kenosha,"INC."" 4006 Washington Rd STE 100 Kenosha",WI,53144-4819,True,1
, COMMUNITY HEALTH INITIATIVES INC. 1419 Mermaid Ave Brooklyn,,NY,11224-2615,True,1
, COMMUNITY HEALTH CENTERS OF SOUTHEASTERN IOWA INC 1706 W Agency Rd West Burlington,,IA,52655-1667,True,1
" ""FAMILY HEALTH CENTER OF SOUTHERN OKLAHOMA, INC.""",610 E 24th St Tishomingo,"INC."" 610 E 24th St Tishomingo",OK,73460-3245,True,1
, ROGUE COMMUNITY HEALTH 1000 E Main St Medford,,OR,97504-7667,True,1
" COLORADO COMMUNITY HEALTH NETWORK INC ""600 N Grant St, Ste 800""",,Denver,CO,80203-3528,True,1
" ""KAGMAN COMMUNITY HEALTH CENTER, INC"" ""6690 COMMERCIAL BUILDING, KAGMAN RD, KAGMAN III""",,Saipan,MP,96950,True,1
" ""OLATHE COMMUNITY CLINIC, INC.""",308 Main St Olathe,"INC."" 308 Main St Olathe",CO,81425-5066,True,1
" ""COMMUNITY HEALTH CENTERS OF SOUTH CENTRAL TEXAS, INC.""",228 St George St Gonzales,"INC."" 228 St George St Gonzales",TX,78629-3910,True,1
, WINN COMMUNITY HEALTH CENTER INC 431 W Lafayette St Winnfield,,LA,71483-3463,True,1
" ""UPSTATE FAMILY HEALTH CENTER, INC""",1001 Noyes St Utica,"INC"" 1001 Noyes St Utica",NY,13502-4400,True,1
" ""LIVWELL COMMUNITY HEALTH SERVICES, INC.""", Broadway St Paducah,"INC."" Broadway St Paducah",KY,42001-7105,True,1
" ""MANET COMMUNITY HEALTH CENTER, INC""",110 West Squantum Street Quincy,"INC"" 110 West Squantum Street Quincy",MA,02171-2122,True,1
" ""ATASCOSA HEALTH CENTER, INC.""",310 W Oaklawn Rd Pleasanton,"INC."" 310 W Oaklawn Rd Pleasanton",TX,78064-4033,True,1
, Community Health Service Inc. 2310 4th Ave N Moorhead,,MN,56560-2473,True,1
, LAKE SUPERIOR COMMUNITY HEALTH CENTER 4325 Grand Ave Duluth,,MN,55807-2714,True,1
" COMMUNITY CLINIC ASSOCIATION OF LOS ANGELES COUNTY ""445 South Figueroa Street, Suite 2100"" Los",,Angeles,CA,90071-1603,True,1
" COALITION OF ORANGE COUNTY COMMUNITY CLINICS ""600 City Pkwy W, Ste 200""",,Orange,CA,92868-2943,True,1
" ""CAROLINA FAMILY HEALTH CENTERS, INC.""",303 Green Street East Wilson,"INC."" 303 Green Street East Wilson",NC,27893-4105,True,1
" ""BEACON CHRISTIAN COMMUNITY HEALTH CENTER, INC.""", Forest Ave Staten Island,"INC."" Forest Ave Staten Island",NY,10303-1865,True,1
, HARDEMAN COUNTY COMMUNITY HEALTH CENTER 629 Nuckolls Rd Bolivar,,TN,38008-1599,True,1
" ""HARRISONBURG COMMUNITY HEALTH CENTER, INC.""",1380 Little Sorrell Dr STE A Harrisonburg,"INC."" 1380 Little Sorrell Dr STE A Harrisonburg",VA,22801-7372,True,1
" ""NEWPORT COUNTY COMMUNITY MENTAL HEALTH CENTER, INC""",42 Valley Rd Middletown,"INC"" 42 Valley Rd Middletown",RI,02842-6400,True,1
, THIRD STREET COMMUNITY CLINIC INC 600 W 3rd St Mansfield,,OH,44906-2633,True,1
" ""BATTENKILL VALLEY HEALTH CENTER, INC.""",9 Church St Arlington,"INC."" 9 Church St Arlington",VT,05250-4457,True,1
" ""WHITE MEMORIAL COMMUNITY HEALTH CENTER, A CALIFORNIA NONPROFIT PUBLIC BENEFIT CORPORATION"" ""1828 E Cesar E Chavez Ave, Ste 5000"" Los",,Angeles,CA,90033-2487,True,1
" ""Camai Community Health Center, Inc"" School Rd South",,Naknek,AK,99670,True,1
, WAYNE COMMUNITY HEALTH CENTERS INC 128 S 300 W Bicknell,,UT,84715-7722,True,1
, CHERRY HILL FREE CLINIC INC 5 Esterbrook Ln Cherry Hill,,NJ,08003-4013,True,1
" ""LAKE COUNTY FREE CLINIC, INC""",462 Chardon St Painesville,"INC"" 462 Chardon St Painesville",OH,44077-3019,True,1
, PORTLAND COMMUNITY HEALTH CENTER 180 Park Ave Portland,,ME,04102-2957,True,1
, ZUMBRO VALLEY HEALTH CENTER 343 Woodlake Dr SE Rochester,,MN,55904-6242,True,1
" ""STEPHEN F. AUSTIN COMMUNITY HEALTH CENTER, INC.""",1111 W Adoue St Alvin,"INC."" 1111 W Adoue St Alvin",TX,77511-2718,True,1
, ECHO COMMUNITY HEALTH CARE 315 Mulberry St Evansville,,IN,47713-1252,True,1
, FIVE RIVERS HEALTH CENTERS 721 Miami Chapel Rd Dayton,,OH,45417-4650,True,1
, IMPERIAL BEACH COMMUNITY CLINIC 2232 Verus St STE I San Diego,,CA,92154-4706,True,1
, NORTHWEST COMMUNITY HEALTH CARE 36 Bridge Way Pascoag,,RI,02859-3131,True,1
, SADLER HEALTH CENTER CORP 100 N Hanover St Carlisle,,PA,17013-2421,True,1
, COWLITZ FAMILY HEALTH CENTER 1057 12th Ave Longview,,WA,98632-2509,True,1
, KALIHI PALAMA HEALTH CENTER 915 N King St Honolulu,,HI,96817-4544,True,1
" ""BOUNDARY REGIONAL COMMUNITY HEALTH CENTER, INC"" ""301 Cedar St, Ste 206""",,Sandpoint,ID,83864-1425,True,1
, MY COMMUNITY HEALTH CENTER 2600 7th St SW Canton,,OH,44710,True,1
, BLUE RIDGE HEALTH CENTER INC. 4038 Thomas Nelson Hwy Arrington,,VA,22922-2302,True,1
, GLENN'S FERRY HEALTH CENTER INC 120 DESERT SAGE WAY Mountain Home,,ID,83647-1038,True,1
" ""SOUTH COUNTY COMMUNITY HEALTH CENTER, INC.""",1885 Bay Rd East Palo Alto,"INC."" 1885 Bay Rd East Palo Alto",CA,94303-1312,True,1
" ""SISKIYOU COMMUNITY HEALTH CENTER, INC.""",1701 NW Hawthorne Ave Grants Pass,"INC."" 1701 NW Hawthorne Ave Grants Pass",OR,97526-1051,True,1
" ""COMMUNITY HEALTH CENTER OF CENTRAL WYOMING, INC.""",5000 Blackmore Rd Casper,"INC."" 5000 Blackmore Rd Casper",WY,82609-3345,True,1
, HOPE CHRISTIAN HEALTH CENTER 4040 N Martin L King Blvd STE A N Las Vegas,,NV,89032-3205,True,1
" ""CHRIST COMMUNITY HEALTH SERVICES AUGUSTA, INC""",1226 Dantignac St Augusta,"INC"" 1226 Dantignac St Augusta",GA,30901-2788,True,1
, FAMILY CARE HEALTH CENTERS 401 Holly Hills Ave Saint Louis,,MO,63111-2410,True,1
" ""HILLTOWN COMMUNITY HEALTH CENTERS, INC.""",58 Old North Road Worthington,"INC."" 58 Old North Road Worthington",MA,01098-9708,True,1
" ""Community Health Service Agency, Inc. of Hunt County, The""",4500 Wesley St Greenville,"The"" 4500 Wesley St Greenville",TX,75401-5644,True,1
, SOUTHEAST COMMUNITY HEALTH SYSTEMS 6351 Main St Zachary,,LA,70791-4038,True,1
" ""WALNUT STREET COMMUNITY HEALTH CENTER, INC""",201 S Cleveland Ave Hagerstown,"INC"" 201 S Cleveland Ave Hagerstown",MD,21740-5745,True,1
" ""HEARTLAND COMMUNITY HEALTH NETWORK, INC."" ""4920 S 30th St, Ste 103""",,Omaha,NE,68107-1656,True,1
, TRI-STATE COMMUNITY HEALTHCARE CENTER 1402 Bailey Ave Needles,,CA,92363-3104,True,1
" ""SAMUEL DIXON FAMILY HEALTH CENTER, INC.""",25115 Avenue Stanford STE A-104 Valencia,"INC."" 25115 Avenue Stanford STE A-104 Valencia",CA,91355-1290,True,1
, NORTH DAKOTA DEPARTMENT OF HEALTH AND HUMAN SERVICES 600 E Boulevard Ave Bismarck,,ND,58505-0601,False,0
, UPMC ALTOONA 620 Howard Ave Altoona,,PA,16601-4899,False,0
, MAINEHEALTH 110 Free St Portland,,ME,04101-3908,False,0
,,,,,False,0
" ""Mountain Area Health Education Center, INC.""",121 Hendersonville Road Asheville,"INC."" 121 Hendersonville Road Asheville",NC,28803-2868,False,0
, PENNSYLVANIA STATE UNIVERSITY 500 University Dr Hershey,,PA,17033-2360,False,0
" ""REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE"" ""1855 Folsom St, Ste 425"" San",,Francisco,CA,94103-4249,False,0
, UNIVERSITY HOSPITALS CLEVELAND MEDICAL CENTER 11000 Euclid Ave Cleveland,,OH,44106-1714,False,0
" ""OHIO STATE UNIVERSITY, THE""", Kenny Rd Columbus,"THE"" Kenny Rd Columbus",OH,43210-1016,False,0
" ""UNIVERSITY OF CALIFORNIA, SAN DIEGO""",9500 Gilman Dr La Jolla,"SAN DIEGO"" 9500 Gilman Dr La Jolla",CA,92093-5004,False,0
, SOUTHEAST INC 16 W Long St Columbus,,OH,43215-2815,False,0
" ""CLINICAS DEL CAMINO REAL, INC.""",1040 Flynn Rd Camarillo,"INC."" 1040 Flynn Rd Camarillo",CA,93012-8705,False,0
, THE FLOATING HOSPITAL 2101 41st Ave Long Island City,,NY,11101-4801,False,0
, WEST VIRGINIA UNIVERSITY 1500 University Ave Morgantown,,WV,26505,False,0
, VENICE FAMILY CLINIC 604 Rose Ave Venice,,CA,90291-2767,False,0
" ""FIRST CHOICE PRIMARY CARE, INC.""",400 Poplar St Macon,"INC."" 400 Poplar St Macon",GA,31201-3336,False,0
" ""SOUTHBRIDGE MEDICAL ADVISORY COUNCIL, INC.""",601 New Castle Ave Wilmington,"INC."" 601 New Castle Ave Wilmington",DE,19801-5821,False,0
, University of Illinois 809 S Marshfield Ave Chicago,,IL,60612-4305,False,0
, NEW YORK CITY HEALTH AND HOSPITALS CORPORATION 50 Water St New York,,NY,10004,False,0
" ""MARILLAC CLINIC, INC.""",2333 N 6th St Grand Junction,"INC."" 2333 N 6th St Grand Junction",CO,81501-,False,0
, CLINICA MSR. OSCAR A ROMERO 123 South Alvarado Street Los Angeles,,CA,90057-2275,False,0
" RUTGERS THE STATE UNIVERSITY OF NEW JERSEY ""65 Bergen St, Ste 1""",,Newark,NJ,07107-3001,False,0
" CAMARENA HEALTH ""730 N I St, Ste 202""",,Madera,CA,93637-3077,False,0
" ""PROJECT RENEWAL, INC.""",200 Varick St New York,"INC."" 200 Varick St New York",NY,10014-4810,False,0
, LEWIS COUNTY PRIMARY CARE CENTER INC 211 KY 59 Vanceburg,,KY,41179-7647,False,0
, SACRAMENTO COUNTY PRIMARY 4600 Broadway Sacramento,,CA,95820-1527,False,0
" ""MOUNTAIN PEOPLES' HEALTH COUNCILS, INC.""",470 Industrial Ln Oneida,"INC."" 470 Industrial Ln Oneida",TN,37841-6294,False,0
, TEJAS HEALTH CARE 753 E Travis St La Grange,,TX,78945-2353,False,0
" ""PERRY COUNTY MEDICAL CENTER, INC.""",115 E Brooklyn St Linden,"INC."" 115 E Brooklyn St Linden",TN,37096-3515,False,0
" ""MCCLOUD HEALTHCARE CLINIC, INC""",116 W Minnesota Ave Mccloud,"INC"" 116 W Minnesota Ave Mccloud",CA,96057-8163,False,0
, CASE WESTERN RESERVE UNIVERSITY 10900 Euclid Ave Cleveland,,OH,44106-4901,False,0
, BRONXCARE HEALTH INTEGRATED SERVICES SYSTEM INC. 1650 Selwyn Ave APT 11H Bronx,,NY,10457-7663,False,0
, HIGHLAND MEDICAL CENTER INC 120 Jackson River Rd Monterey,,VA,24465-2416,False,0
, SAINT JAMES HEALTH INC 228 Lafayette St Newark,,NJ,07105-1815,False,0
" SAN BERNARDINO PUBLIC HEALTH ""451 E Vanderbilt Way, Ste 200"" San",,Bernardino,CA,92408-3614,False,0
" ""URBAN HEALTH PLAN, INC""",1065 Southern Blvd Bronx,"INC"" 1065 Southern Blvd Bronx",NY,10459-2417,False,0
, ARROYO VISTA FAMILY HEALTH FOUNDATION 6000 N Figueroa St Los Angeles,,CA,90042-4232,False,0
" ""OCEAN HEALTH INITIATIVES, INC""",101 2nd St Lakewood,"INC"" 101 2nd St Lakewood",NJ,08701-3324,False,0
" ""MED CENTRO, INC.""",1034 Ave Hostos Ponce,"INC."" 1034 Ave Hostos Ponce",PR,00716-1115,False,0
" ""SUNSET PARK HEALTH COUNCIL, INC.""",150 55th St Brooklyn,"INC."" 150 55th St Brooklyn",NY,11220-2559,False,0
, GRANT COUNTY HOSPITAL DISTRICT 5 210 Government Rd Mattawa,,WA,99349-5116,False,0
" ""BEHAVIORAL HEALTH SERVICES, INC.""",15519 Crenshaw Blvd Gardena,"INC."" 15519 Crenshaw Blvd Gardena",CA,90249,False,0
, Beloved Community Family Wellness Center 6821 S Halsted St Chicago,,IL,60621-1833,False,0
" ""VALLEY HEALTH TEAM, INC.""",21890 W Colorado Ave San Joaquin,"INC."" 21890 W Colorado Ave San Joaquin",CA,93660-9773,False,0
" ""RUSHFORD CENTER, INC.""",883 Paddock Ave Meriden,"INC."" 883 Paddock Ave Meriden",CT,06450-7044,False,0
" ""WAIANAE DISTRICT COMPREHENSIVE HEALTH AND HOSPITAL BOARD, INCORPORATED"" 86-",260 Farrington Hwy Waianae,"INCORPORATED"" 86-260 Farrington Hwy Waianae",HI,96792-3199,False,0
, ANTHONY L. JORDAN HEALTH CORPORATION 82 Holland St Rochester,,NY,14605-2199,False,0
" ""CAPITOL ASSOCIATES, INC.""",1009 Duke St Alexandria,"INC."" 1009 Duke St Alexandria",VA,22314-3511,False,0
, Mantachie Rural Health Care Inc. 5681 Highway 363 Mantachie,,MS,38855-7632,False,0
" ""OPERATION SAMAHAN, INC."" ""637 3rd Ave, Ste E1"" Chula",,Vista,CA,91910-5707,False,0
, San Mateo County Health 225 37th Ave San Mateo,,CA,94403-4324,False,0
, VIDA Y SALUD-HEALTH SYSTEMS INC 308 S Cesar Chavez Ave Crystal City,,TX,78839-4200,False,0
, THE NEAR NORTH HEALTH SERVICE CORPORATION 1276 North Clybourn Avenue Chicago,,IL,60610-,False,0
, COUNTY OF SANTA CRUZ 1080 Emeline Ave Santa Cruz,,CA,95060-,False,0
, METROPOLITAN FAMILY HEALTH NETWORK INC 935 Garfield Ave Jersey City,,NJ,07304-2731,False,0
, Inner -City Muslim Action Network 2745 W 63rd St Chicago,,IL,60629-2342,False,0
" ""Maine Mobile Health Program, Inc""",9 Green St Augusta,"Inc"" 9 Green St Augusta",ME,04330-7451,False,0
, BROOKLYN PLAZA MEDICAL CENTER 650 Fulton St Brooklyn,,NY,11217-1517,False,0
, APPALACHIAN DISTRICT HEALTH DEPARTMENT 157 Health Services Road Sparta,,NC,28675-3000,False,0
, CENTER FOR FAMILY & CHILD ENRICHMENT INC 1825 Nw 167Th St Miami Gardens,,FL,33056-4838,False,0
" ""OPTIMUS HEALTH CARE, INC""",982 E Main St Bridgeport,"INC"" 982 E Main St Bridgeport",CT,06608-,False,0
" ""MERIDIAN EDUCATION RESOURCE GROUP, INC.""",1353 George W Brumley Way SE Atlanta,"INC."" 1353 George W Brumley Way SE Atlanta",GA,30317-1743,False,0
, SCHOOL HEALTH CLINICS OF SANTA CLARA COUNTY 6840 Via del Oro San Jose,,CA,95119-1342,False,0
" ""THE BREVARD HEALTH ALLIANCE, INC.""",4315 Woodland Park Dr West Melbourne,"INC."" 4315 Woodland Park Dr West Melbourne",FL,32904-,False,0
" ""Health Net, Inc.""",3403 E Raymond St Indianapolis,"Inc."" 3403 E Raymond St Indianapolis",IN,46203-4744,False,0
" ""EL PROYECTO DEL BARRIO, INC.""",8932 Woodman Ave Arleta,"INC."" 8932 Woodman Ave Arleta",CA,91331-8021,False,0
, ST JAMES HEALTH & WELLNESS INC 1189 Tibwin Rd Mc Clellanville,,SC,29458-9405,False,0
, YAKUTAT TLINGIT TRIBE 606 Forest Highway No 10 Yakutat,,AK,99689,False,0
